ip_id,brth_yr,act_strt_dt,no_of_dpnd_chl,cis_income,crn_bal,gnd_cd,mar_st_cd,ctf_tp_cd,ocp_cd
28,1979.0,2010-07-31,1.0,47459.0,500.0,1.0,3.0,1.0,2
29,1981.0,2011-03-31,0.0,46190.0,731969.0,1.0,1.0,3.0,6
30,1983.0,2007-12-12,0.0,42028.0,500.0,2.0,2.0,1.0,3
31,1990.0,2007-02-01,0.0,40194.0,1247643.0,2.0,4.0,2.0,7
32,1984.0,2010-08-05,0.0,46893.0,500.0,1.0,4.0,4.0,1
33,1981.0,2011-09-17,0.0,40057.0,365640.0,2.0,2.0,2.0,9
34,1978.0,2008-05-12,0.0,46484.0,500.0,1.0,1.0,3.0,6
35,1985.0,2012-01-23,0.0,47048.0,808283.0,2.0,2.0,1.0,8
36,1978.0,2011-08-22,0.0,46897.0,500.0,2.0,1.0,4.0,9
37,1980.0,2016-04-03,0.0,43541.0,500.0,2.0,2.0,5.0,9
38,1982.0,2011-12-02,0.0,41488.0,500.0,1.0,1.0,4.0,4
39,1983.0,2007-03-01,2.0,51293.0,786539.0,2.0,1.0,2.0,11
40,1984.0,2010-07-30,0.0,44021.0,376487.0,1.0,3.0,1.0,4
41,1978.0,2011-06-06,0.0,44690.0,500.0,1.0,3.0,6.0,1
42,1983.0,2009-09-19,1.0,43978.0,500.0,1.0,1.0,1.0,8
43,1983.0,2005-09-06,0.0,41801.0,48533.0,2.0,4.0,6.0,9
44,1982.0,2011-10-10,1.0,40475.0,500.0,1.0,4.0,6.0,8
45,1987.0,2006-05-29,0.0,40843.0,500.0,1.0,1.0,5.0,12
46,1978.0,2006-09-28,0.0,51922.0,500.0,2.0,2.0,5.0,2
47,1982.0,2010-07-30,0.0,41720.0,1409864.0,1.0,3.0,3.0,2
48,1972.0,2010-08-14,1.0,40791.0,500.0,1.0,1.0,4.0,8
49,1983.0,2013-04-22,0.0,44908.0,500.0,1.0,1.0,6.0,5
50,1979.0,2010-12-28,2.0,44238.0,158388.0,1.0,1.0,1.0,3
51,1989.0,2008-01-29,0.0,44408.0,135484.0,1.0,2.0,4.0,6
52,1977.0,2014-03-07,0.0,41261.0,500.0,1.0,1.0,4.0,3
53,1983.0,2014-03-17,0.0,38783.0,35482.0,1.0,4.0,5.0,1
54,1983.0,2011-04-21,0.0,42495.0,599543.0,2.0,4.0,1.0,8
55,1986.0,2010-12-22,0.0,42218.0,500.0,1.0,3.0,1.0,3
56,1982.0,2012-04-06,0.0,42813.0,500.0,1.0,3.0,5.0,6
57,1979.0,2004-03-14,0.0,42792.0,500.0,2.0,4.0,6.0,9
58,1977.0,2012-11-16,1.0,36157.0,15151.0,2.0,1.0,2.0,7
59,1979.0,2011-07-10,0.0,46609.0,500.0,1.0,4.0,1.0,1
60,1981.0,2011-06-15,1.0,47255.0,160357.0,2.0,4.0,3.0,2
61,1982.0,2010-11-07,1.0,49586.0,582765.0,2.0,4.0,2.0,8
62,1979.0,2006-10-12,0.0,35749.0,500.0,1.0,4.0,4.0,7
63,1977.0,2003-12-27,0.0,38260.0,70446.0,1.0,3.0,6.0,8
64,1974.0,2008-12-27,1.0,43105.0,378126.0,1.0,3.0,6.0,3
65,1978.0,2008-11-23,0.0,46152.0,306623.0,1.0,4.0,2.0,5
66,1979.0,2010-08-13,0.0,46355.0,447969.0,1.0,2.0,2.0,9
67,1982.0,2011-08-01,0.0,42679.0,500.0,2.0,3.0,2.0,11
68,1975.0,2013-11-10,0.0,44211.0,459755.0,2.0,3.0,1.0,5
69,1978.0,2007-09-13,0.0,46547.0,500.0,1.0,2.0,5.0,8
70,1978.0,2011-10-27,0.0,45105.0,500.0,2.0,3.0,4.0,5
71,1984.0,2011-07-14,0.0,50552.0,500.0,2.0,1.0,1.0,3
72,1976.0,2007-10-10,0.0,39256.0,666810.0,1.0,1.0,5.0,9
73,1979.0,2003-10-30,0.0,40848.0,893071.0,2.0,4.0,4.0,1
74,1987.0,2011-04-06,0.0,46711.0,224659.0,2.0,3.0,3.0,12
75,1973.0,2012-04-16,0.0,42993.0,28342.0,2.0,4.0,5.0,8
76,1980.0,2006-04-11,0.0,50174.0,500.0,1.0,4.0,5.0,12
77,1975.0,2012-05-08,0.0,34418.0,500.0,1.0,1.0,6.0,12
78,1972.0,2013-06-14,0.0,45481.0,500.0,1.0,3.0,5.0,6
79,1978.0,2007-05-13,0.0,44832.0,9955.0,2.0,3.0,3.0,6
80,1975.0,2007-04-18,0.0,43517.0,355986.0,1.0,1.0,6.0,5
81,1969.0,2010-01-15,0.0,47883.0,461800.0,1.0,1.0,3.0,6
82,1978.0,2011-12-30,1.0,40394.0,500.0,1.0,4.0,6.0,5
83,1975.0,2014-01-03,0.0,33654.0,30128.0,2.0,1.0,5.0,1
84,1973.0,2015-05-08,0.0,38145.0,500.0,2.0,2.0,6.0,6
85,1982.0,2013-02-11,1.0,35236.0,12616.0,1.0,3.0,3.0,5
86,1975.0,2008-07-27,0.0,50807.0,500.0,1.0,3.0,3.0,12
87,1982.0,2012-08-30,0.0,42652.0,476884.0,2.0,3.0,5.0,1
88,1976.0,2011-10-12,0.0,41593.0,306183.0,1.0,3.0,6.0,3
89,1989.0,2012-01-24,0.0,39177.0,500.0,2.0,4.0,5.0,7
90,1982.0,2006-11-07,1.0,41801.0,94194.0,2.0,1.0,3.0,12
91,1984.0,2008-11-03,1.0,46885.0,500.0,2.0,1.0,4.0,12
92,1977.0,2016-08-08,0.0,42777.0,500.0,2.0,2.0,3.0,9
93,1982.0,2007-09-19,0.0,49880.0,142373.0,2.0,4.0,6.0,1
94,1982.0,2013-10-12,0.0,41116.0,500.0,1.0,2.0,5.0,3
95,1980.0,2005-03-20,1.0,40459.0,72541.0,1.0,4.0,4.0,4
96,1985.0,2011-03-09,1.0,44173.0,500.0,2.0,3.0,5.0,12
97,1977.0,2011-08-02,0.0,37070.0,500.0,2.0,1.0,1.0,12
98,1974.0,2012-04-04,0.0,42454.0,500.0,2.0,2.0,6.0,11
99,1977.0,2015-10-01,0.0,41089.0,500.0,2.0,2.0,1.0,8
100,1984.0,2012-08-31,1.0,40584.0,809307.0,1.0,1.0,1.0,12
101,1980.0,2007-10-10,0.0,41232.0,755230.0,1.0,4.0,3.0,5
102,1982.0,2014-01-18,0.0,42895.0,500.0,1.0,4.0,2.0,12
103,1976.0,2012-10-06,0.0,45756.0,500.0,1.0,2.0,3.0,3
104,1982.0,2010-08-29,0.0,40633.0,358329.0,1.0,1.0,5.0,5
105,1991.0,2009-11-03,0.0,40358.0,500.0,1.0,4.0,2.0,12
106,1983.0,2011-09-25,0.0,42840.0,500.0,1.0,2.0,1.0,4
107,1982.0,2008-09-18,0.0,44032.0,500.0,2.0,1.0,2.0,5
108,1981.0,2017-05-26,0.0,46777.0,500.0,2.0,2.0,5.0,5
109,1982.0,2007-11-01,2.0,41464.0,326297.0,1.0,1.0,2.0,12
110,1974.0,2005-06-07,0.0,39724.0,683140.0,2.0,1.0,1.0,2
111,1980.0,2006-10-13,0.0,42037.0,485271.0,2.0,3.0,4.0,7
112,1967.0,2013-05-13,3.0,39463.0,321737.0,2.0,3.0,5.0,3
113,1984.0,2012-12-22,0.0,36746.0,979115.0,2.0,3.0,2.0,11
114,1976.0,2012-08-02,0.0,43899.0,500.0,1.0,2.0,5.0,3
115,1982.0,2011-01-06,0.0,37775.0,500.0,2.0,4.0,5.0,1
116,1985.0,2012-05-28,0.0,43727.0,630935.0,2.0,3.0,2.0,3
117,1982.0,2005-08-21,0.0,37121.0,648288.0,1.0,4.0,5.0,8
118,1971.0,2009-01-08,1.0,42629.0,500.0,1.0,2.0,6.0,5
119,1979.0,2010-12-05,0.0,50213.0,1437350.0,1.0,1.0,2.0,5
120,1987.0,2015-07-10,0.0,45978.0,761040.0,1.0,4.0,4.0,7
121,1979.0,2013-04-11,0.0,46724.0,132828.0,2.0,4.0,3.0,12
122,1972.0,2007-11-22,0.0,40174.0,500.0,2.0,1.0,6.0,11
123,1979.0,2016-11-01,0.0,42411.0,500.0,1.0,2.0,1.0,12
124,1982.0,2009-11-10,0.0,45608.0,883784.0,1.0,2.0,3.0,12
125,1987.0,2008-10-15,1.0,40394.0,500.0,1.0,4.0,3.0,2
126,1978.0,2009-05-17,0.0,49821.0,500.0,2.0,3.0,3.0,2
127,1974.0,2004-01-04,0.0,48379.0,500.0,2.0,1.0,5.0,6
128,1977.0,2011-07-20,0.0,40742.0,635181.0,1.0,2.0,4.0,6
129,1978.0,2013-04-21,0.0,43483.0,4651.0,1.0,4.0,1.0,8
130,1977.0,2008-01-21,0.0,39321.0,487593.0,1.0,2.0,3.0,9
131,1976.0,2012-03-31,0.0,47520.0,500.0,1.0,3.0,5.0,4
132,1996.0,2011-12-27,0.0,49832.0,500.0,2.0,2.0,2.0,9
133,1980.0,2015-10-27,0.0,44530.0,123873.0,2.0,1.0,1.0,6
134,1984.0,2011-09-10,1.0,46734.0,500.0,2.0,2.0,6.0,8
135,1976.0,2011-08-15,0.0,38263.0,500.0,1.0,4.0,2.0,12
136,1985.0,2006-10-16,0.0,51806.0,500.0,1.0,1.0,4.0,1
137,1985.0,2014-10-01,2.0,43900.0,457367.0,1.0,2.0,1.0,12
138,1977.0,2009-02-14,2.0,39684.0,500.0,2.0,2.0,3.0,12
139,1979.0,2013-07-07,0.0,38222.0,567665.0,2.0,1.0,5.0,7
140,1974.0,2011-08-03,0.0,45712.0,500.0,1.0,1.0,2.0,4
141,1978.0,2009-06-09,0.0,46979.0,261348.0,1.0,2.0,3.0,2
142,1983.0,2008-08-05,1.0,35695.0,500.0,2.0,2.0,3.0,2
143,1985.0,2010-09-03,1.0,38885.0,822005.0,1.0,2.0,2.0,9
144,1980.0,2008-08-14,0.0,37655.0,500.0,2.0,2.0,1.0,3
145,1983.0,2008-01-30,0.0,40494.0,899852.0,1.0,3.0,4.0,1
146,1989.0,2010-04-11,1.0,41619.0,136973.0,2.0,4.0,1.0,12
147,1973.0,2012-09-09,0.0,43482.0,500.0,2.0,3.0,2.0,11
148,1983.0,2014-06-04,1.0,34500.0,500.0,1.0,3.0,3.0,7
149,1978.0,2012-01-25,2.0,43474.0,500.0,2.0,2.0,3.0,12
150,1973.0,2010-09-07,0.0,49555.0,440769.0,1.0,4.0,4.0,3
151,1980.0,2008-03-22,0.0,39186.0,1280600.0,1.0,4.0,4.0,12
152,1984.0,2005-04-23,0.0,40390.0,999092.0,2.0,4.0,5.0,9
153,1977.0,2012-03-07,0.0,39234.0,500.0,1.0,3.0,2.0,4
154,1980.0,2012-10-12,2.0,41832.0,500.0,1.0,3.0,1.0,5
155,1976.0,2011-07-18,0.0,37322.0,149485.0,2.0,1.0,4.0,5
156,1985.0,2007-06-24,0.0,37239.0,88904.0,1.0,1.0,5.0,1
157,1979.0,2011-06-02,1.0,49995.0,500.0,1.0,3.0,5.0,2
158,1981.0,2013-01-29,2.0,46753.0,500.0,2.0,2.0,3.0,7
159,1986.0,2009-04-07,0.0,40804.0,500.0,1.0,2.0,1.0,4
160,1973.0,2012-08-25,1.0,41038.0,500.0,2.0,4.0,5.0,11
161,1973.0,2009-06-30,0.0,45977.0,500.0,1.0,1.0,4.0,7
162,1975.0,2007-11-01,0.0,42622.0,1254046.0,1.0,2.0,2.0,7
163,1976.0,2006-04-02,0.0,37746.0,500.0,2.0,2.0,6.0,5
164,1977.0,2011-03-17,0.0,39536.0,526945.0,2.0,2.0,4.0,11
165,1983.0,2013-04-26,0.0,39726.0,500.0,1.0,4.0,4.0,5
166,1978.0,2010-11-19,0.0,46405.0,297898.0,2.0,4.0,5.0,2
167,1977.0,2013-06-02,0.0,42166.0,153317.0,1.0,4.0,5.0,7
168,1984.0,2011-07-16,0.0,41155.0,1393193.0,2.0,2.0,2.0,1
169,1980.0,2011-06-13,0.0,42709.0,446129.0,1.0,2.0,2.0,1
170,1977.0,2015-07-26,3.0,33045.0,500.0,2.0,1.0,5.0,12
171,1965.0,2009-07-05,0.0,45674.0,942922.0,2.0,4.0,2.0,2
172,1983.0,2009-08-10,1.0,37041.0,211603.0,2.0,3.0,4.0,1
173,1986.0,2013-01-11,1.0,36922.0,500.0,1.0,4.0,6.0,6
174,1976.0,2010-04-14,0.0,43318.0,500.0,1.0,2.0,5.0,8
175,1977.0,2014-06-23,1.0,42190.0,500.0,2.0,1.0,5.0,3
176,1983.0,2006-12-19,0.0,46462.0,500.0,1.0,1.0,2.0,11
177,1984.0,2016-03-12,1.0,42829.0,1127664.0,2.0,4.0,5.0,2
178,1980.0,2005-10-04,0.0,42221.0,181559.0,1.0,1.0,6.0,12
179,1980.0,2010-04-03,0.0,41684.0,1255649.0,2.0,2.0,1.0,12
180,1977.0,2009-02-26,0.0,43107.0,428258.0,1.0,2.0,2.0,8
181,1988.0,2011-01-17,1.0,41250.0,500.0,1.0,3.0,4.0,7
182,1974.0,2016-05-01,0.0,41663.0,614315.0,2.0,2.0,6.0,2
183,1977.0,2009-02-09,2.0,40041.0,452219.0,2.0,1.0,5.0,1
184,1977.0,2008-07-15,0.0,36754.0,500.0,2.0,3.0,1.0,12
185,1979.0,2011-08-03,0.0,44102.0,500.0,2.0,4.0,2.0,5
186,1983.0,2015-05-21,0.0,35275.0,1060742.0,2.0,1.0,3.0,2
187,1984.0,2008-12-29,0.0,41689.0,500.0,1.0,2.0,6.0,4
188,1978.0,2008-11-19,0.0,40237.0,500.0,1.0,3.0,1.0,6
189,1982.0,2009-04-11,0.0,45744.0,500.0,2.0,2.0,1.0,3
190,1982.0,2010-11-14,0.0,46769.0,500.0,2.0,4.0,6.0,1
191,1973.0,2010-03-28,1.0,42613.0,500.0,1.0,4.0,2.0,2
192,1975.0,2012-09-23,0.0,48191.0,500.0,2.0,3.0,3.0,12
193,1977.0,2013-01-23,0.0,45315.0,500.0,1.0,1.0,4.0,1
194,1974.0,2005-04-25,0.0,52862.0,710229.0,1.0,3.0,4.0,4
195,1975.0,2016-04-03,2.0,39566.0,1114855.0,2.0,2.0,4.0,1
196,1981.0,2008-07-29,2.0,43325.0,1569139.0,2.0,2.0,5.0,9
197,1970.0,2015-02-21,0.0,49893.0,500.0,2.0,4.0,4.0,9
198,1980.0,2011-11-03,1.0,44810.0,500.0,1.0,2.0,2.0,5
199,1983.0,2011-05-15,0.0,44445.0,919954.0,1.0,1.0,5.0,7
200,1983.0,2014-10-23,2.0,48563.0,500.0,2.0,3.0,3.0,1
201,1974.0,2011-02-11,1.0,36040.0,500.0,2.0,2.0,1.0,11
202,1980.0,2011-03-03,0.0,40981.0,500.0,1.0,3.0,2.0,4
203,1983.0,2009-03-04,0.0,35458.0,500.0,1.0,1.0,5.0,4
204,1984.0,2014-06-13,0.0,49638.0,482230.0,1.0,4.0,5.0,9
205,1982.0,2013-02-28,0.0,43345.0,521186.0,2.0,2.0,6.0,9
206,1979.0,2009-09-13,0.0,41984.0,500.0,1.0,4.0,5.0,1
207,1985.0,2012-02-17,0.0,52499.0,500.0,2.0,3.0,5.0,2
208,1991.0,2013-02-11,0.0,44371.0,500.0,2.0,2.0,6.0,4
209,1980.0,2010-04-23,0.0,46853.0,500.0,1.0,4.0,1.0,6
210,1975.0,2009-04-22,0.0,39537.0,491085.0,2.0,1.0,2.0,12
211,1971.0,2009-11-19,0.0,36743.0,500.0,1.0,1.0,6.0,4
212,1987.0,2011-09-01,0.0,45929.0,500.0,1.0,3.0,5.0,11
213,1974.0,2007-01-02,2.0,48783.0,500.0,1.0,3.0,5.0,1
214,1979.0,2007-02-11,1.0,43676.0,656138.0,1.0,4.0,5.0,12
215,1976.0,2008-11-15,1.0,44284.0,78008.0,2.0,4.0,3.0,2
216,1986.0,2009-05-24,0.0,40643.0,838271.0,1.0,1.0,3.0,3
217,1978.0,2013-01-06,0.0,41405.0,500.0,2.0,3.0,3.0,11
218,1985.0,2010-06-04,0.0,31985.0,500.0,1.0,1.0,4.0,1
219,1978.0,2011-04-07,0.0,39191.0,500.0,1.0,3.0,4.0,2
220,1978.0,2014-10-28,1.0,44256.0,500.0,1.0,2.0,5.0,7
221,1977.0,2010-03-29,1.0,46947.0,243368.0,1.0,1.0,1.0,7
222,1976.0,2011-04-16,0.0,40281.0,500.0,2.0,1.0,3.0,7
223,1982.0,2006-11-30,0.0,45984.0,500.0,1.0,1.0,3.0,2
224,1975.0,2009-12-17,0.0,38821.0,500.0,2.0,2.0,4.0,12
225,1977.0,2011-03-08,2.0,34757.0,500.0,1.0,4.0,1.0,11
226,1981.0,2011-10-19,0.0,36094.0,1270089.0,1.0,2.0,6.0,12
227,1972.0,2009-08-25,0.0,43200.0,26267.0,2.0,3.0,4.0,3
228,1970.0,2011-09-22,1.0,41066.0,5668.0,2.0,2.0,4.0,4
229,1976.0,2006-09-04,0.0,41472.0,500.0,2.0,4.0,1.0,5
230,1979.0,2011-01-06,0.0,43453.0,39296.0,2.0,3.0,5.0,3
231,1983.0,2011-02-14,0.0,36569.0,500.0,1.0,2.0,1.0,8
232,1980.0,2009-05-01,0.0,49718.0,500.0,2.0,3.0,6.0,9
233,1975.0,2011-02-14,0.0,43969.0,500.0,1.0,4.0,5.0,8
234,1987.0,2013-07-01,0.0,45004.0,89347.0,2.0,1.0,3.0,8
235,1982.0,2012-05-13,0.0,38134.0,500.0,2.0,4.0,1.0,12
236,1979.0,2015-10-01,3.0,49186.0,500.0,2.0,3.0,2.0,1
237,1979.0,2004-05-27,0.0,31220.0,1071869.0,2.0,4.0,2.0,5
238,1977.0,2004-04-30,1.0,43693.0,548201.0,2.0,3.0,4.0,3
239,1985.0,2009-06-04,0.0,45839.0,500.0,1.0,3.0,5.0,12
240,1985.0,2010-10-11,0.0,37527.0,1472271.0,1.0,1.0,2.0,3
241,1982.0,2010-08-13,0.0,41031.0,1024211.0,2.0,2.0,2.0,8
242,1981.0,2009-06-04,0.0,49064.0,500.0,1.0,3.0,2.0,4
243,1978.0,2006-09-01,0.0,46263.0,500.0,2.0,4.0,3.0,7
244,1976.0,2005-11-04,0.0,38483.0,500.0,2.0,1.0,4.0,6
245,1981.0,2011-03-28,0.0,43209.0,111054.0,2.0,2.0,3.0,4
246,1975.0,2010-11-11,0.0,42385.0,702380.0,1.0,1.0,4.0,8
247,1975.0,2013-11-30,1.0,41522.0,260736.0,1.0,1.0,1.0,3
248,1979.0,2007-08-16,0.0,35855.0,527656.0,2.0,3.0,4.0,2
249,1984.0,2007-02-02,0.0,37844.0,500.0,1.0,3.0,6.0,11
250,1984.0,2008-08-15,0.0,39405.0,500.0,1.0,1.0,2.0,9
251,1984.0,2007-03-01,1.0,43541.0,391892.0,1.0,4.0,4.0,4
252,1979.0,2009-12-07,0.0,41631.0,500.0,2.0,4.0,5.0,1
253,1983.0,2014-05-23,0.0,40656.0,798744.0,2.0,4.0,1.0,3
254,1983.0,2015-07-27,0.0,36643.0,500.0,2.0,1.0,3.0,2
255,1976.0,2010-03-18,0.0,37929.0,689321.0,1.0,4.0,3.0,7
256,1978.0,2018-01-11,2.0,41313.0,353986.0,1.0,3.0,4.0,11
257,1976.0,2005-03-04,0.0,41015.0,500.0,2.0,1.0,2.0,1
258,1982.0,2015-01-20,1.0,38840.0,475983.0,1.0,3.0,4.0,12
259,1982.0,2009-09-24,0.0,41772.0,500.0,2.0,1.0,2.0,8
260,1981.0,2010-02-18,0.0,45641.0,192471.0,1.0,1.0,5.0,7
261,1980.0,2012-06-28,0.0,40391.0,500.0,2.0,1.0,4.0,1
262,1977.0,2015-03-17,0.0,39801.0,411605.0,2.0,3.0,1.0,5
263,1972.0,2011-01-31,0.0,36595.0,500.0,1.0,4.0,1.0,12
264,1980.0,2007-02-04,0.0,41558.0,500.0,2.0,2.0,2.0,6
265,1978.0,2007-03-07,0.0,44930.0,500.0,1.0,3.0,4.0,3
266,1973.0,2011-06-19,1.0,36047.0,500.0,1.0,1.0,3.0,2
267,1978.0,2014-07-25,0.0,48868.0,500.0,1.0,2.0,4.0,9
268,1984.0,2013-05-03,0.0,40776.0,500.0,1.0,3.0,5.0,4
269,1984.0,2005-03-16,1.0,40897.0,1181743.0,2.0,3.0,5.0,5
270,1976.0,2012-01-06,0.0,38582.0,500.0,1.0,2.0,6.0,1
271,1973.0,2011-08-05,0.0,50266.0,781673.0,1.0,2.0,4.0,7
272,1976.0,2011-01-06,2.0,37134.0,220589.0,1.0,1.0,4.0,1
273,1987.0,2008-07-19,0.0,48475.0,500.0,1.0,1.0,6.0,8
274,1976.0,2010-02-11,0.0,44586.0,500.0,2.0,1.0,6.0,12
275,1979.0,2017-11-05,1.0,45112.0,500.0,2.0,4.0,2.0,6
276,1990.0,2014-03-29,0.0,42806.0,325531.0,1.0,2.0,5.0,8
277,1983.0,2012-09-02,0.0,41796.0,275503.0,1.0,2.0,3.0,9
278,1974.0,2007-04-19,0.0,40838.0,500.0,2.0,3.0,5.0,1
279,1979.0,2012-07-20,0.0,44455.0,500.0,1.0,1.0,6.0,7
280,1981.0,2007-09-18,0.0,40455.0,500.0,1.0,4.0,5.0,8
281,1980.0,2014-10-10,1.0,42185.0,68960.0,1.0,2.0,1.0,7
282,1984.0,2010-06-11,0.0,40785.0,218348.0,2.0,3.0,6.0,5
283,1980.0,2010-08-25,0.0,45060.0,500.0,1.0,4.0,3.0,7
284,1975.0,2010-06-02,0.0,41226.0,116819.0,2.0,2.0,3.0,5
285,1983.0,2016-08-31,0.0,43211.0,239208.0,2.0,1.0,4.0,1
286,1982.0,2013-11-04,1.0,43799.0,500.0,1.0,1.0,1.0,6
287,1984.0,2010-01-18,0.0,46938.0,589545.0,1.0,2.0,2.0,7
288,1983.0,2010-05-30,0.0,46312.0,500.0,2.0,1.0,6.0,6
289,1978.0,2010-10-28,1.0,37602.0,500.0,2.0,2.0,5.0,4
290,1977.0,2012-08-01,0.0,37022.0,402049.0,1.0,2.0,5.0,6
291,1977.0,2013-01-17,1.0,44711.0,729311.0,2.0,3.0,1.0,2
292,1977.0,2010-03-01,1.0,44900.0,500.0,1.0,2.0,5.0,5
293,1968.0,2010-02-21,1.0,44067.0,500.0,2.0,4.0,2.0,4
294,1982.0,2013-11-27,0.0,48114.0,500.0,1.0,4.0,5.0,1
295,1980.0,2006-02-11,0.0,45315.0,35070.0,1.0,4.0,1.0,2
296,1980.0,2009-07-25,0.0,41104.0,90050.0,2.0,4.0,2.0,1
297,1980.0,2009-09-24,0.0,39600.0,500.0,1.0,4.0,4.0,7
298,1981.0,2009-09-13,0.0,42233.0,500.0,2.0,1.0,5.0,12
299,1988.0,2013-05-18,0.0,40616.0,551863.0,2.0,2.0,1.0,5
300,1976.0,2011-04-30,0.0,44629.0,500.0,1.0,4.0,5.0,8
301,1977.0,2013-05-18,0.0,41765.0,500.0,2.0,3.0,2.0,1
302,1979.0,2013-03-20,0.0,32353.0,494125.0,1.0,1.0,2.0,2
303,1969.0,2011-03-02,0.0,40393.0,500.0,1.0,1.0,5.0,12
304,1982.0,2012-08-27,0.0,42752.0,937357.0,1.0,3.0,2.0,7
305,1985.0,2007-02-21,0.0,37191.0,500.0,2.0,3.0,3.0,11
306,1982.0,2008-10-03,0.0,45995.0,500.0,1.0,3.0,5.0,5
307,1982.0,2010-06-14,0.0,46110.0,500.0,1.0,3.0,2.0,12
308,1974.0,2011-03-14,0.0,43281.0,500.0,1.0,4.0,2.0,8
309,1982.0,2014-06-24,0.0,46038.0,500.0,1.0,1.0,3.0,5
310,1978.0,2011-09-15,0.0,36446.0,60265.0,2.0,2.0,5.0,9
311,1979.0,2004-01-13,0.0,45476.0,340989.0,2.0,4.0,4.0,3
312,1981.0,2009-03-21,0.0,47514.0,500.0,1.0,2.0,4.0,8
313,1980.0,2006-03-05,0.0,43346.0,500.0,1.0,3.0,4.0,11
314,1975.0,2003-02-26,0.0,44940.0,500.0,2.0,4.0,3.0,5
315,1979.0,2010-10-27,1.0,39303.0,208603.0,1.0,2.0,2.0,6
316,1986.0,2010-11-01,0.0,42883.0,1347976.0,2.0,2.0,5.0,11
317,1973.0,2013-03-01,1.0,44083.0,258424.0,1.0,3.0,2.0,12
318,1981.0,2010-02-16,2.0,53484.0,500.0,2.0,1.0,2.0,12
319,1983.0,2008-08-30,1.0,41356.0,548447.0,2.0,3.0,4.0,1
320,1976.0,2008-06-18,0.0,41388.0,108273.0,1.0,2.0,5.0,7
321,1985.0,2013-10-01,0.0,38087.0,386599.0,2.0,2.0,5.0,1
322,1977.0,2018-01-11,0.0,47591.0,503879.0,2.0,1.0,1.0,4
323,1982.0,2012-07-10,0.0,44042.0,500.0,2.0,4.0,2.0,7
324,1980.0,2013-05-09,2.0,41815.0,500.0,1.0,4.0,5.0,6
325,1981.0,2011-11-14,0.0,46315.0,106583.0,1.0,4.0,1.0,7
326,1988.0,2010-08-08,1.0,46125.0,307548.0,2.0,1.0,3.0,9
327,1971.0,2012-05-30,0.0,45863.0,500.0,2.0,4.0,3.0,9
328,1984.0,2013-05-05,0.0,42496.0,219943.0,1.0,3.0,6.0,5
329,1982.0,2008-08-13,0.0,45562.0,156490.0,1.0,2.0,4.0,11
330,1974.0,2005-06-06,0.0,44498.0,500.0,2.0,3.0,2.0,5
331,1976.0,2017-11-12,0.0,39539.0,1233878.0,2.0,4.0,6.0,3
332,1973.0,2010-02-21,0.0,45299.0,500.0,2.0,3.0,2.0,9
333,1979.0,2010-11-03,0.0,43895.0,500.0,2.0,3.0,3.0,6
