ip_id,prov
378,ชลบุรี                                  
381,สิงห์บุรี                               
383,บึงกาฬ                                  
383,ลำพูน                                   
386,ลำปาง                                   
386,สมุทรปราการ                             
387,บุรีรัมย์                               
387,ระยอง                                   
388,กำแพงเพชร                               
388,ขอนแก่น                                 
389,พะเยา                                   
390,ปราจีนบุรี                              
390,พิษณุโลก                                
392,มุกดาหาร                                
395,เชียงราย                                
398,ระยอง                                   
399,ตรัง                                    
399,นครพนม                                  
399,พะเยา                                   
399,สมุทรปราการ                             
401,ปราจีนบุรี                              
402,ตาก                                     
403,พิษณุโลก                                
405,ระยอง                                   
406,นครนายก                                 
406,ลำพูน                                   
407,นครปฐม                                  
410,พิษณุโลก                                
414,ชลบุรี                                  
415,นครพนม                                  
417,ปัตตานี                                 
417,ระยอง                                   
419,ปัตตานี                                 
419,พะเยา                                   
420,ตราด                                    
421,นราธิวาส                                
423,นนทบุรี                                 
427,ปัตตานี                                 
434,ลำพูน                                   
440,ตาก                                     
444,ราชบุรี                                 
444,สมุทรปราการ                             
448,อุดรธานี                                
449,สระแก้ว                                 
452,นครนายก                                 
453,ชลบุรี                                  
453,สมุทรสาคร                               
454,ระยอง                                   
460,ลำพูน                                   
461,ปราจีนบุรี                              
461,สระแก้ว                                 
463,ภูเก็ต                                  
466,กาฬสินธุ์                               
466,บึงกาฬ                                  
466,พังงา                                   
469,ตาก                                     
474,กาฬสินธุ์                               
475,ภูเก็ต                                  
476,ตราด                                    
476,นครราชสีมา                              
476,สระแก้ว                                 
478,บุรีรัมย์                               
479,ยโสธร                                   
481,พังงา                                   
481,ราชบุรี                                 
482,บุรีรัมย์                               
485,พิษณุโลก                                
486,สมุทรสาคร                               
488,ตาก                                     
490,อุดรธานี                                
491,ปราจีนบุรี                              
491,สมุทรปราการ                             
495,พิษณุโลก                                
499,ภูเก็ต                                  
500,เพชรบูรณ์                               
502,สมุทรปราการ                             
505,นราธิวาส                                
505,ราชบุรี                                 
507,ขอนแก่น                                 
508,บุรีรัมย์                               
509,ขอนแก่น                                 
512,มุกดาหาร                                
516,ขอนแก่น                                 
518,ลำพูน                                   
521,สมุทรสาคร                               
523,มุกดาหาร                                
529,ลำปาง                                   
530,พะเยา                                   
531,นครนายก                                 
534,นครราชสีมา                              
536,ชลบุรี                                  
538,ลำปาง                                   
543,นครนายก                                 
544,ภูเก็ต                                  
546,นครพนม                                  
547,กระบี่                                  
547,พิษณุโลก                                
551,ระยอง                                   
554,นครราชสีมา                              
556,ปัตตานี                                 
557,ภูเก็ต                                  
559,ระนอง                                   
559,ลำปาง                                   
560,ราชบุรี                                 
561,นครนายก                                 
562,เพชรบูรณ์                               
565,ยโสธร                                   
567,บุรีรัมย์                               
567,ปทุมธานี                                
567,อุตรดิตถ์                               
571,ราชบุรี                                 
573,ขอนแก่น                                 
573,พะเยา                                   
574,นครนายก                                 
575,อ่างทอง                                 
578,บุรีรัมย์                               
578,พิษณุโลก                                
579,ระนอง                                   
579,อ่างทอง                                 
582,กำแพงเพชร                               
587,นราธิวาส                                
592,ปราจีนบุรี                              
592,สิงห์บุรี                               
594,ระนอง                                   
598,สมุทรปราการ                             
600,นครปฐม                                  
601,นครพนม                                  
605,ตาก                                     
606,เพชรบูรณ์                               
611,นครราชสีมา                              
612,ภูเก็ต                                  
614,บึงกาฬ                                  
615,ลำปาง                                   
617,ยโสธร                                   
617,ลำพูน                                   
617,อ่างทอง                                 
619,นนทบุรี                                 
622,กาฬสินธุ์                               
622,นครนายก                                 
622,นนทบุรี                                 
624,ยโสธร                                   
624,แม่ฮ่องสอน                              
625,ขอนแก่น                                 
627,นราธิวาส                                
628,พะเยา                                   
628,สิงห์บุรี                               
629,พังงา                                   
629,อ่างทอง                                 
630,ตรัง                                    
630,อุดรธานี                                
632,อ่างทอง                                 
634,กาฬสินธุ์                               
634,นนทบุรี                                 
634,นราธิวาส                                
637,ปทุมธานี                                
641,บุรีรัมย์                               
650,ตาก                                     
650,นนทบุรี                                 
654,ยโสธร                                   
656,นครราชสีมา                              
660,ตรัง                                    
661,แม่ฮ่องสอน                              
664,ชลบุรี                                  
667,ระนอง                                   
669,สมุทรสาคร                               
670,ปทุมธานี                                
670,อุดรธานี                                
670,อุตรดิตถ์                               
671,อ่างทอง                                 
672,สระแก้ว                                 
673,กำแพงเพชร                               
674,อุดรธานี                                
676,อ่างทอง                                 
677,บุรีรัมย์                               
679,ราชบุรี                                 
682,อุดรธานี                                
682,แม่ฮ่องสอน                              
683,อุดรธานี                                
685,นครพนม                                  
688,ยโสธร                                   
689,ระนอง                                   
691,ตราด                                    
692,กำแพงเพชร                               
694,สิงห์บุรี                               
696,ชลบุรี                                  
698,กระบี่                                  
699,เพชรบูรณ์                               
703,สระแก้ว                                 
704,นครปฐม                                  
706,ปัตตานี                                 
707,ปราจีนบุรี                              
710,สิงห์บุรี                               
713,อ่างทอง                                 
714,ตรัง                                    
716,ลำปาง                                   
716,อุตรดิตถ์                               
717,ระนอง                                   
717,สมุทรสาคร                               
718,ราชบุรี                                 
720,กำแพงเพชร                               
722,นครราชสีมา                              
725,หนองบัวลำภู                             
730,เชียงราย                                
732,ภูเก็ต                                  
735,นราธิวาส                                
735,หนองบัวลำภู                             
735,อุตรดิตถ์                               
738,ปัตตานี                                 
739,นครพนม                                  
741,ปราจีนบุรี                              
741,สระแก้ว                                 
742,สมุทรปราการ                             
742,เชียงราย                                
746,บุรีรัมย์                               
746,ลำพูน                                   
749,ตราด                                    
750,ตราด                                    
751,ตราด                                    
753,สมุทรสาคร                               
754,สิงห์บุรี                               
757,สมุทรสาคร                               
759,นครปฐม                                  
762,พิษณุโลก                                
762,สมุทรสาคร                               
763,ปัตตานี                                 
763,พะเยา                                   
766,นราธิวาส                                
766,สุรินทร์                                
767,พิษณุโลก                                
768,นครพนม                                  
768,ระยอง                                   
772,ชลบุรี                                  
773,ตาก                                     
773,ราชบุรี                                 
774,อุตรดิตถ์                               
776,บึงกาฬ                                  
776,ราชบุรี                                 
778,ระนอง                                   
780,นราธิวาส                                
781,นครนายก                                 
783,นราธิวาส                                
783,สมุทรปราการ                             
787,ขอนแก่น                                 
788,ปัตตานี                                 
790,ภูเก็ต                                  
791,ตรัง                                    
791,นครราชสีมา                              
792,นราธิวาส                                
793,ราชบุรี                                 
793,สุราษฎร์ธานี                            
794,สุรินทร์                                
795,บึงกาฬ                                  
796,สระแก้ว                                 
797,ตรัง                                    
798,เพชรบูรณ์                               
799,สุราษฎร์ธานี                            
801,อุดรธานี                                
804,ภูเก็ต                                  
806,เชียงราย                                
807,นครพนม                                  
807,บุรีรัมย์                               
808,สมุทรสาคร                               
809,กำแพงเพชร                               
814,ลำพูน                                   
816,พะเยา                                   
818,นครนายก                                 
820,ชลบุรี                                  
823,นครปฐม                                  
825,ลำพูน                                   
829,กาฬสินธุ์                               
829,ระนอง                                   
830,สระแก้ว                                 
830,อุตรดิตถ์                               
836,พิษณุโลก                                
836,แม่ฮ่องสอน                              
838,นครนายก                                 
839,ชลบุรี                                  
840,ระนอง                                   
841,ระยอง                                   
842,หนองบัวลำภู                             
843,อุตรดิตถ์                               
850,สมุทรสาคร                               
850,เชียงราย                                
853,ชลบุรี                                  
856,พังงา                                   
857,ระยอง                                   
859,ตราด                                    
859,หนองบัวลำภู                             
860,ปทุมธานี                                
862,นครราชสีมา                              
864,กาฬสินธุ์                               
864,ยโสธร                                   
866,อุตรดิตถ์                               
868,นครพนม                                  
869,ราชบุรี                                 
869,เชียงราย                                
872,ตาก                                     
872,ลำปาง                                   
873,สุรินทร์                                
875,ขอนแก่น                                 
878,ตาก                                     
881,ยโสธร                                   
882,นครนายก                                 
883,นครพนม                                  
883,พะเยา                                   
886,นครนายก                                 
895,ปัตตานี                                 
895,อุตรดิตถ์                               
896,สุรินทร์                                
898,กาฬสินธุ์                               
898,ลำพูน                                   
900,นครพนม                                  
904,หนองบัวลำภู                             
906,ลำพูน                                   
907,กระบี่                                  
908,พังงา                                   
909,ขอนแก่น                                 
909,ชลบุรี                                  
909,สิงห์บุรี                               
910,กระบี่                                  
913,สมุทรสาคร                               
914,ตรัง                                    
914,ยโสธร                                   
916,นนทบุรี                                 
919,สิงห์บุรี                               
921,ตรัง                                    
921,นนทบุรี                                 
921,พะเยา                                   
921,ระนอง                                   
923,ภูเก็ต                                  
923,สมุทรสาคร                               
925,ชลบุรี                                  
925,ตรัง                                    
925,พิษณุโลก                                
926,กาฬสินธุ์                               
926,ลำพูน                                   
927,พังงา                                   
929,หนองบัวลำภู                             
930,ปทุมธานี                                
930,สมุทรสาคร                               
932,ปัตตานี                                 
933,ระยอง                                   
939,อุดรธานี                                
940,แม่ฮ่องสอน                              
942,ภูเก็ต                                  
944,ตรัง                                    
944,ตราด                                    
944,ลำพูน                                   
945,นครราชสีมา                              
946,ตรัง                                    
947,ราชบุรี                                 
947,เชียงราย                                
948,ปทุมธานี                                
950,อุตรดิตถ์                               
951,พังงา                                   
951,เพชรบูรณ์                               
952,ยโสธร                                   
953,หนองบัวลำภู                             
954,ยโสธร                                   
954,อุตรดิตถ์                               
955,ปัตตานี                                 
956,พังงา                                   
957,นครราชสีมา                              
957,อ่างทอง                                 
958,นครราชสีมา                              
962,ขอนแก่น                                 
962,ปทุมธานี                                
963,ภูเก็ต                                  
964,ขอนแก่น                                 
964,สุราษฎร์ธานี                            
966,กระบี่                                  
969,พังงา                                   
971,ตราด                                    
973,ภูเก็ต                                  
976,ชลบุรี                                  
977,เชียงราย                                
982,พะเยา                                   
984,ตรัง                                    
985,ปัตตานี                                 
987,สุราษฎร์ธานี                            
990,ขอนแก่น                                 
991,ปทุมธานี                                
994,อุดรธานี                                
995,ชลบุรี                                  
998,ระยอง                                   
1003,บึงกาฬ                                  
1005,ตรัง                                    
1006,พังงา                                   
1006,สิงห์บุรี                               
1007,บึงกาฬ                                  
1009,ปราจีนบุรี                              
1010,ปทุมธานี                                
1010,ภูเก็ต                                  
1012,มุกดาหาร                                
1013,กาฬสินธุ์                               
1015,กระบี่                                  
1018,บึงกาฬ                                  
1022,ตาก                                     
1023,พิษณุโลก                                
1025,ระยอง                                   
1029,นครพนม                                  
1029,สุรินทร์                                
1035,นราธิวาส                                
1036,นครนายก                                 
1038,เชียงราย                                
1041,ชลบุรี                                  
1041,สิงห์บุรี                               
1043,นครพนม                                  
1043,สระแก้ว                                 
1047,ภูเก็ต                                  
1050,หนองบัวลำภู                             
1052,กำแพงเพชร                               
1055,สุรินทร์                                
1055,แม่ฮ่องสอน                              
1056,แม่ฮ่องสอน                              
1059,นนทบุรี                                 
1059,พะเยา                                   
1059,สระแก้ว                                 
1060,ภูเก็ต                                  
1061,นครปฐม                                  
1062,ขอนแก่น                                 
1062,เชียงราย                                
1065,นนทบุรี                                 
1067,กำแพงเพชร                               
1067,นครนายก                                 
1068,อุตรดิตถ์                               
1070,ตาก                                     
1072,ระนอง                                   
1074,หนองบัวลำภู                             
1077,สระแก้ว                                 
1078,สระแก้ว                                 
1079,นครราชสีมา                              
1080,ยโสธร                                   
1082,ปัตตานี                                 
1082,ราชบุรี                                 
1082,เชียงราย                                
1085,ขอนแก่น                                 
1085,อุดรธานี                                
1085,อุตรดิตถ์                               
1087,ราชบุรี                                 
1088,สระแก้ว                                 
1089,ปทุมธานี                                
1091,มุกดาหาร                                
1095,ขอนแก่น                                 
1096,ภูเก็ต                                  
1096,ราชบุรี                                 
1097,ขอนแก่น                                 
1098,เพชรบูรณ์                               
1103,อุตรดิตถ์                               
1106,อ่างทอง                                 
1107,กาฬสินธุ์                               
1109,กาฬสินธุ์                               
1109,สระแก้ว                                 
1110,กำแพงเพชร                               
1110,ปทุมธานี                                
1112,มุกดาหาร                                
1113,ภูเก็ต                                  
1117,สมุทรสาคร                               
1119,นครปฐม                                  
1119,นครพนม                                  
1123,นนทบุรี                                 
1124,ตรัง                                    
1127,ปราจีนบุรี                              
1128,เชียงราย                                
1129,ลำพูน                                   
1130,นครราชสีมา                              
1135,ระนอง                                   
1136,บุรีรัมย์                               
1139,บึงกาฬ                                  
1140,ตรัง                                    
1147,ตาก                                     
1147,บุรีรัมย์                               
1152,นครปฐม                                  
1155,บึงกาฬ                                  
1159,ตาก                                     
1161,ปทุมธานี                                
1161,พังงา                                   
1161,หนองบัวลำภู                             
1165,สมุทรปราการ                             
1165,อุดรธานี                                
1167,สมุทรปราการ                             
1170,นครพนม                                  
1170,ปทุมธานี                                
1170,สุรินทร์                                
1171,อ่างทอง                                 
1172,ปัตตานี                                 
1173,ตรัง                                    
1173,ระนอง                                   
1174,ตาก                                     
1176,นครปฐม                                  
1178,แม่ฮ่องสอน                              
1186,สิงห์บุรี                               
1187,นครปฐม                                  
1187,ลำพูน                                   
1188,มุกดาหาร                                
1191,ยโสธร                                   
1197,พังงา                                   
1197,แม่ฮ่องสอน                              
1200,อุดรธานี                                
1200,เพชรบูรณ์                               
