ip_id,label,n_huge_CR,n_huge_DR,diff_huge_train_CR_DR,n_ATM,n_Branch,n_CDM,n_CorporateConnect,n_EDC,n_KPlus,most_frequent_channel,n_CR_ATM,n_CR_Branch,n_CR_CDM,n_CR_CorporateConnect,n_CR_EDC,n_CR_KPlus,most_frequent_CR_channel,n_DR_ATM,n_DR_Branch,n_DR_CorporateConnect,n_DR_EDC,n_DR_KPlus,most_frequent_DR_channel,n_CR,n_DR,diff_n_CR_DR,most_frequent_tp,sum_amt_CR,sum_amt_DR,diff_sum_amt_CR_DR,sum_amt_CR_per_month,sum_amt_DR_per_month,max_sum_amt_tp,avg_amt_CR,avg_amt_DR,diff_avg_amt_CR_DR,max_avg_amt_tp
11,0.0,0,0,0,13.0,13.0,5.0,14.0,3.0,6.0,n_CorporateConnect,6.0,7.0,5.0,6.0,0.0,3.0,n_CR_Branch,7.0,6.0,8.0,3.0,3.0,n_DR_CorporateConnect,27,27,0,n_CR,182853.0,112515.0,70338.0,13060.92857142857,8036.785714285715,sum_amt_CR,6772.333333333333,4167.222222222223,2605.1111111111104,avg_amt_CR
12,0.0,0,0,0,11.0,5.0,5.0,3.0,2.0,9.0,n_ATM,3.0,2.0,5.0,2.0,0.0,3.0,n_CR_CDM,8.0,3.0,1.0,2.0,6.0,n_DR_ATM,15,20,-5,n_DR,67490.0,124205.0,-56715.0,4820.714285714285,8871.785714285714,sum_amt_DR,4499.333333333333,6210.25,-1710.916666666667,avg_amt_DR
13,0.0,0,0,0,9.0,10.0,5.0,7.0,1.0,8.0,n_Branch,6.0,5.0,5.0,2.0,0.0,5.0,n_CR_ATM,3.0,5.0,5.0,1.0,3.0,n_DR_Branch,23,17,6,n_CR,126722.0,116390.0,10332.0,9051.57142857143,8313.57142857143,sum_amt_CR,5509.652173913043,6846.470588235294,-1336.8184143222506,avg_amt_DR
14,0.0,0,0,0,8.0,7.0,2.0,4.0,2.0,3.0,n_ATM,7.0,5.0,2.0,0.0,0.0,1.0,n_CR_ATM,1.0,2.0,4.0,2.0,2.0,n_DR_CorporateConnect,15,11,4,n_CR,66944.0,57679.0,9265.0,4781.714285714285,4119.928571428572,sum_amt_CR,4462.933333333333,5243.545454545455,-780.6121212121216,avg_amt_DR
15,0.0,0,0,0,11.0,4.0,7.0,7.0,4.0,11.0,n_ATM,8.0,3.0,7.0,2.0,0.0,8.0,n_CR_ATM,3.0,1.0,5.0,4.0,3.0,n_DR_CorporateConnect,28,16,12,n_CR,166602.0,66314.0,100288.0,11900.142857142857,4736.714285714285,sum_amt_CR,5950.071428571428,4144.625,1805.4464285714284,avg_amt_CR
16,0.0,0,0,0,4.0,7.0,1.0,10.0,6.0,7.0,n_CorporateConnect,4.0,3.0,1.0,8.0,0.0,4.0,n_CR_CorporateConnect,0.0,4.0,2.0,6.0,3.0,n_DR_EDC,20,15,5,n_CR,77666.0,62893.0,14773.0,5547.571428571428,4492.357142857143,sum_amt_CR,3883.3,4192.866666666667,-309.5666666666666,avg_amt_DR
17,0.0,0,0,0,7.0,4.0,4.0,7.0,2.0,10.0,n_KPlus,3.0,1.0,4.0,5.0,0.0,4.0,n_CR_CorporateConnect,4.0,3.0,2.0,2.0,6.0,n_DR_KPlus,17,17,0,n_CR,122196.0,66376.0,55820.0,8728.285714285714,4741.142857142857,sum_amt_CR,7188.0,3904.470588235294,3283.529411764706,avg_amt_CR
18,0.0,0,0,0,15.0,7.0,3.0,7.0,3.0,9.0,n_ATM,12.0,2.0,3.0,4.0,0.0,2.0,n_CR_ATM,3.0,5.0,3.0,3.0,7.0,n_DR_KPlus,23,21,2,n_CR,129467.0,105406.0,24061.0,9247.642857142857,7529.0,sum_amt_CR,5629.0,5019.333333333333,609.666666666667,avg_amt_CR
19,0.0,0,0,0,6.0,6.0,3.0,4.0,3.0,4.0,n_ATM,4.0,1.0,3.0,2.0,0.0,1.0,n_CR_ATM,2.0,5.0,2.0,3.0,3.0,n_DR_Branch,11,15,-4,n_DR,55413.0,98351.0,-42938.0,3958.0714285714284,7025.071428571428,sum_amt_DR,5037.545454545455,6556.733333333334,-1519.1878787878786,avg_amt_DR
20,0.0,0,0,0,11.0,10.0,4.0,11.0,5.0,6.0,n_ATM,6.0,6.0,4.0,5.0,0.0,3.0,n_CR_ATM,5.0,4.0,6.0,5.0,3.0,n_DR_CorporateConnect,24,23,1,n_CR,86409.0,126610.0,-40201.0,6172.071428571428,9043.57142857143,sum_amt_DR,3600.375,5504.782608695652,-1904.407608695652,avg_amt_DR
21,0.0,0,0,0,5.0,8.0,3.0,5.0,2.0,3.0,n_Branch,3.0,4.0,3.0,2.0,0.0,2.0,n_CR_Branch,2.0,4.0,3.0,2.0,1.0,n_DR_Branch,14,12,2,n_CR,66523.0,81460.0,-14937.0,4751.642857142857,5818.571428571428,sum_amt_DR,4751.642857142857,6788.333333333333,-2036.6904761904761,avg_amt_DR
22,0.0,0,0,0,9.0,8.0,8.0,9.0,1.0,5.0,n_ATM,4.0,5.0,8.0,3.0,0.0,2.0,n_CR_CDM,5.0,3.0,6.0,1.0,3.0,n_DR_CorporateConnect,22,18,4,n_CR,130230.0,105064.0,25166.0,9302.142857142857,7504.571428571428,sum_amt_CR,5919.545454545455,5836.888888888889,82.65656565656627,avg_amt_CR
23,0.0,0,0,0,12.0,8.0,4.0,6.0,1.0,5.0,n_ATM,7.0,3.0,4.0,3.0,0.0,2.0,n_CR_ATM,5.0,5.0,3.0,1.0,3.0,n_DR_ATM,19,17,2,n_CR,83068.0,73507.0,9561.0,5933.428571428572,5250.5,sum_amt_CR,4372.0,4323.941176470588,48.05882352941171,avg_amt_CR
24,0.0,0,0,0,6.0,5.0,6.0,9.0,2.0,4.0,n_CorporateConnect,5.0,2.0,6.0,6.0,0.0,0.0,n_CR_CDM,1.0,3.0,3.0,2.0,4.0,n_DR_KPlus,19,13,6,n_CR,107970.0,62893.0,45077.0,7712.142857142857,4492.357142857143,sum_amt_CR,5682.631578947368,4837.923076923077,844.7085020242912,avg_amt_CR
25,0.0,0,0,0,9.0,4.0,6.0,6.0,3.0,10.0,n_KPlus,3.0,4.0,6.0,2.0,0.0,5.0,n_CR_CDM,6.0,0.0,4.0,3.0,5.0,n_DR_ATM,20,18,2,n_CR,131085.0,109687.0,21398.0,9363.214285714286,7834.785714285715,sum_amt_CR,6554.25,6093.722222222223,460.5277777777774,avg_amt_CR
26,0.0,0,0,0,6.0,9.0,4.0,12.0,3.0,10.0,n_CorporateConnect,4.0,2.0,4.0,8.0,0.0,5.0,n_CR_CorporateConnect,2.0,7.0,4.0,3.0,5.0,n_DR_Branch,23,21,2,n_CR,125155.0,88148.0,37007.0,8939.642857142857,6296.285714285715,sum_amt_CR,5441.521739130435,4197.523809523809,1243.9979296066258,avg_amt_CR
27,0.0,0,0,0,7.0,12.0,7.0,7.0,3.0,9.0,n_Branch,4.0,10.0,7.0,5.0,0.0,3.0,n_CR_Branch,3.0,2.0,2.0,3.0,6.0,n_DR_KPlus,29,16,13,n_CR,184472.0,80472.0,104000.0,13176.57142857143,5748.0,sum_amt_CR,6361.103448275862,5029.5,1331.6034482758623,avg_amt_CR
28,0.0,0,0,0,7.0,9.0,4.0,8.0,4.0,6.0,n_Branch,4.0,4.0,4.0,4.0,0.0,3.0,n_CR_ATM,3.0,5.0,4.0,4.0,3.0,n_DR_Branch,19,19,0,n_CR,103850.0,115517.0,-11667.0,7417.857142857143,8251.214285714286,sum_amt_DR,5465.789473684211,6079.8421052631575,-614.0526315789466,avg_amt_DR
29,0.0,0,0,0,8.0,7.0,2.0,6.0,4.0,6.0,n_ATM,5.0,4.0,2.0,2.0,0.0,4.0,n_CR_ATM,3.0,3.0,4.0,4.0,2.0,n_DR_CorporateConnect,17,16,1,n_CR,83596.0,91828.0,-8232.0,5971.142857142857,6559.142857142857,sum_amt_DR,4917.411764705882,5739.25,-821.838235294118,avg_amt_DR
30,0.0,0,0,0,10.0,4.0,5.0,11.0,0.0,14.0,n_KPlus,6.0,2.0,5.0,7.0,0.0,6.0,n_CR_CorporateConnect,4.0,2.0,4.0,0.0,8.0,n_DR_KPlus,26,18,8,n_CR,113852.0,63111.0,50741.0,8132.285714285715,4507.928571428572,sum_amt_CR,4378.923076923077,3506.1666666666665,872.7564102564106,avg_amt_CR
31,0.0,0,0,0,6.0,11.0,2.0,4.0,5.0,9.0,n_Branch,6.0,5.0,2.0,0.0,0.0,4.0,n_CR_ATM,0.0,6.0,4.0,5.0,5.0,n_DR_Branch,17,20,-3,n_DR,103470.0,71666.0,31804.0,7390.714285714285,5119.0,sum_amt_CR,6086.470588235294,3583.3,2503.1705882352935,avg_amt_CR
32,0.0,0,0,0,11.0,12.0,7.0,10.0,4.0,9.0,n_Branch,7.0,5.0,7.0,8.0,0.0,6.0,n_CR_CorporateConnect,4.0,7.0,2.0,4.0,3.0,n_DR_Branch,33,20,13,n_CR,195955.0,127265.0,68690.0,13996.785714285714,9090.357142857143,sum_amt_CR,5938.030303030303,6363.25,-425.219696969697,avg_amt_DR
33,0.0,0,0,0,7.0,6.0,3.0,9.0,3.0,6.0,n_CorporateConnect,4.0,3.0,3.0,3.0,0.0,2.0,n_CR_ATM,3.0,3.0,6.0,3.0,4.0,n_DR_CorporateConnect,15,19,-4,n_DR,92753.0,87337.0,5416.0,6625.214285714285,6238.357142857143,sum_amt_CR,6183.533333333334,4596.684210526316,1586.849122807018,avg_amt_CR
34,0.0,0,0,0,10.0,6.0,3.0,3.0,2.0,9.0,n_ATM,2.0,2.0,3.0,2.0,0.0,3.0,n_CR_CDM,8.0,4.0,1.0,2.0,6.0,n_DR_ATM,12,21,-9,n_DR,59914.0,133609.0,-73695.0,4279.571428571428,9543.5,sum_amt_DR,4992.833333333333,6362.333333333333,-1369.5,avg_amt_DR
35,0.0,0,0,0,7.0,5.0,2.0,5.0,5.0,7.0,n_ATM,3.0,4.0,2.0,3.0,0.0,3.0,n_CR_Branch,4.0,1.0,2.0,5.0,4.0,n_DR_EDC,15,16,-1,n_DR,65952.0,72354.0,-6402.0,4710.857142857143,5168.142857142857,sum_amt_DR,4396.8,4522.125,-125.32499999999982,avg_amt_DR
36,0.0,0,0,0,9.0,6.0,1.0,8.0,4.0,3.0,n_ATM,4.0,5.0,1.0,3.0,0.0,1.0,n_CR_Branch,5.0,1.0,5.0,4.0,2.0,n_DR_ATM,14,17,-3,n_DR,93554.0,58659.0,34895.0,6682.428571428572,4189.928571428572,sum_amt_CR,6682.428571428572,3450.529411764706,3231.8991596638657,avg_amt_CR
37,0.0,0,0,0,8.0,10.0,2.0,4.0,8.0,3.0,n_Branch,4.0,5.0,2.0,2.0,0.0,1.0,n_CR_Branch,4.0,5.0,2.0,8.0,2.0,n_DR_EDC,14,21,-7,n_DR,85323.0,95209.0,-9886.0,6094.5,6800.642857142857,sum_amt_DR,6094.5,4533.761904761905,1560.7380952380954,avg_amt_CR
38,0.0,0,0,0,4.0,13.0,1.0,7.0,4.0,5.0,n_Branch,4.0,8.0,1.0,2.0,0.0,3.0,n_CR_Branch,0.0,5.0,5.0,4.0,2.0,n_DR_Branch,18,16,2,n_CR,74348.0,93327.0,-18979.0,5310.571428571428,6666.214285714285,sum_amt_DR,4130.444444444444,5832.9375,-1702.4930555555557,avg_amt_DR
39,0.0,0,0,0,8.0,12.0,4.0,5.0,1.0,8.0,n_Branch,3.0,5.0,4.0,1.0,0.0,4.0,n_CR_Branch,5.0,7.0,4.0,1.0,4.0,n_DR_Branch,17,21,-4,n_DR,83279.0,93383.0,-10104.0,5948.5,6670.214285714285,sum_amt_DR,4898.764705882353,4446.809523809524,451.9551820728293,avg_amt_CR
40,0.0,0,0,0,6.0,11.0,3.0,12.0,9.0,6.0,n_CorporateConnect,3.0,8.0,3.0,7.0,0.0,4.0,n_CR_Branch,3.0,3.0,5.0,9.0,2.0,n_DR_EDC,25,22,3,n_CR,128113.0,103560.0,24553.0,9150.92857142857,7397.142857142857,sum_amt_CR,5124.52,4707.272727272727,417.2472727272734,avg_amt_CR
41,0.0,0,0,0,4.0,7.0,6.0,4.0,3.0,10.0,n_KPlus,2.0,4.0,6.0,1.0,0.0,6.0,n_CR_CDM,2.0,3.0,3.0,3.0,4.0,n_DR_KPlus,19,15,4,n_CR,120684.0,99856.0,20828.0,8620.285714285714,7132.571428571428,sum_amt_CR,6351.789473684211,6657.066666666667,-305.27719298245574,avg_amt_DR
42,0.0,0,0,0,7.0,10.0,7.0,9.0,4.0,7.0,n_Branch,2.0,4.0,7.0,4.0,0.0,3.0,n_CR_CDM,5.0,6.0,5.0,4.0,4.0,n_DR_Branch,20,24,-4,n_DR,138040.0,119115.0,18925.0,9860.0,8508.214285714286,sum_amt_CR,6902.0,4963.125,1938.875,avg_amt_CR
43,0.0,0,0,0,8.0,10.0,5.0,4.0,3.0,1.0,n_Branch,2.0,5.0,5.0,2.0,0.0,0.0,n_CR_Branch,6.0,5.0,2.0,3.0,1.0,n_DR_ATM,14,17,-3,n_DR,78611.0,102429.0,-23818.0,5615.071428571428,7316.357142857143,sum_amt_DR,5615.071428571428,6025.235294117647,-410.1638655462184,avg_amt_DR
44,0.0,0,0,0,10.0,7.0,4.0,6.0,6.0,9.0,n_ATM,3.0,4.0,4.0,4.0,0.0,3.0,n_CR_Branch,7.0,3.0,2.0,6.0,6.0,n_DR_ATM,18,24,-6,n_DR,117030.0,146939.0,-29909.0,8359.285714285714,10495.642857142857,sum_amt_DR,6501.666666666667,6122.458333333333,379.20833333333394,avg_amt_CR
45,0.0,0,0,0,9.0,5.0,3.0,8.0,7.0,7.0,n_ATM,6.0,3.0,3.0,6.0,0.0,4.0,n_CR_ATM,3.0,2.0,2.0,7.0,3.0,n_DR_EDC,22,17,5,n_CR,117615.0,86868.0,30747.0,8401.07142857143,6204.857142857143,sum_amt_CR,5346.136363636364,5109.882352941177,236.2540106951874,avg_amt_CR
46,0.0,0,0,0,5.0,4.0,5.0,5.0,2.0,9.0,n_KPlus,3.0,3.0,5.0,3.0,0.0,5.0,n_CR_CDM,2.0,1.0,2.0,2.0,4.0,n_DR_KPlus,19,11,8,n_CR,106057.0,67582.0,38475.0,7575.5,4827.285714285715,sum_amt_CR,5581.9473684210525,6143.818181818182,-561.8708133971295,avg_amt_DR
47,0.0,0,0,0,11.0,9.0,2.0,9.0,5.0,7.0,n_ATM,4.0,4.0,2.0,4.0,0.0,4.0,n_CR_ATM,7.0,5.0,5.0,5.0,3.0,n_DR_ATM,18,25,-7,n_DR,91481.0,147834.0,-56353.0,6534.357142857143,10559.57142857143,sum_amt_DR,5082.277777777777,5913.36,-831.0822222222223,avg_amt_DR
48,0.0,0,0,0,7.0,5.0,6.0,11.0,5.0,5.0,n_CorporateConnect,4.0,4.0,6.0,8.0,0.0,3.0,n_CR_CorporateConnect,3.0,1.0,3.0,5.0,2.0,n_DR_EDC,25,14,11,n_CR,143957.0,77174.0,66783.0,10282.642857142857,5512.428571428572,sum_amt_CR,5758.28,5512.428571428572,245.8514285714282,avg_amt_CR
49,0.0,0,0,0,8.0,5.0,5.0,6.0,6.0,4.0,n_ATM,5.0,4.0,5.0,1.0,1.0,1.0,n_CR_ATM,3.0,1.0,5.0,5.0,3.0,n_DR_CorporateConnect,17,17,0,n_CR,92180.0,95155.0,-2975.0,6584.285714285715,6796.785714285715,sum_amt_DR,5422.35294117647,5597.35294117647,-175.0,avg_amt_DR
50,0.0,0,0,0,6.0,9.0,3.0,5.0,5.0,11.0,n_KPlus,1.0,4.0,3.0,3.0,0.0,7.0,n_CR_KPlus,5.0,5.0,2.0,5.0,4.0,n_DR_ATM,18,21,-3,n_DR,85260.0,120830.0,-35570.0,6090.0,8630.714285714286,sum_amt_DR,4736.666666666667,5753.809523809524,-1017.1428571428569,avg_amt_DR
51,0.0,0,0,0,11.0,4.0,2.0,11.0,6.0,5.0,n_ATM,4.0,2.0,2.0,8.0,0.0,3.0,n_CR_CorporateConnect,7.0,2.0,3.0,6.0,2.0,n_DR_ATM,19,20,-1,n_DR,125555.0,146135.0,-20580.0,8968.214285714286,10438.214285714286,sum_amt_DR,6608.1578947368425,7306.75,-698.5921052631575,avg_amt_DR
52,0.0,0,0,0,6.0,7.0,3.0,4.0,5.0,14.0,n_KPlus,2.0,5.0,3.0,3.0,0.0,8.0,n_CR_KPlus,4.0,2.0,1.0,5.0,6.0,n_DR_KPlus,21,18,3,n_CR,114188.0,116859.0,-2671.0,8156.285714285715,8347.07142857143,sum_amt_DR,5437.523809523809,6492.166666666667,-1054.6428571428578,avg_amt_DR
53,0.0,0,0,0,8.0,8.0,6.0,5.0,3.0,9.0,n_KPlus,4.0,6.0,6.0,3.0,0.0,1.0,n_CR_Branch,4.0,2.0,2.0,3.0,8.0,n_DR_KPlus,20,19,1,n_CR,107994.0,87195.0,20799.0,7713.857142857143,6228.214285714285,sum_amt_CR,5399.7,4589.210526315789,810.4894736842107,avg_amt_CR
54,0.0,0,0,0,12.0,4.0,4.0,7.0,2.0,5.0,n_ATM,5.0,3.0,4.0,4.0,0.0,3.0,n_CR_ATM,7.0,1.0,3.0,2.0,2.0,n_DR_ATM,19,15,4,n_CR,110431.0,62399.0,48032.0,7887.928571428572,4457.071428571428,sum_amt_CR,5812.1578947368425,4159.933333333333,1652.2245614035091,avg_amt_CR
55,0.0,0,0,0,9.0,8.0,5.0,4.0,3.0,9.0,n_ATM,6.0,6.0,5.0,4.0,0.0,6.0,n_CR_ATM,3.0,2.0,0.0,3.0,3.0,n_DR_ATM,27,11,16,n_CR,133291.0,60297.0,72994.0,9520.785714285714,4306.928571428572,sum_amt_CR,4936.7037037037035,5481.545454545455,-544.8417508417515,avg_amt_DR
56,0.0,0,0,0,7.0,8.0,6.0,4.0,3.0,5.0,n_Branch,5.0,2.0,6.0,3.0,0.0,2.0,n_CR_CDM,2.0,6.0,1.0,3.0,3.0,n_DR_Branch,18,15,3,n_CR,103467.0,65234.0,38233.0,7390.5,4659.571428571428,sum_amt_CR,5748.166666666667,4348.933333333333,1399.2333333333336,avg_amt_CR
57,0.0,0,0,0,11.0,8.0,3.0,8.0,4.0,9.0,n_ATM,6.0,4.0,3.0,2.0,0.0,2.0,n_CR_ATM,5.0,4.0,6.0,4.0,7.0,n_DR_KPlus,17,26,-9,n_DR,82245.0,143057.0,-60812.0,5874.642857142857,10218.357142857143,sum_amt_DR,4837.941176470588,5502.192307692308,-664.2511312217193,avg_amt_DR
58,0.0,0,0,0,5.0,6.0,5.0,10.0,5.0,7.0,n_CorporateConnect,3.0,4.0,5.0,5.0,0.0,4.0,n_CR_CDM,2.0,2.0,5.0,5.0,3.0,n_DR_CorporateConnect,21,17,4,n_CR,132190.0,103442.0,28748.0,9442.142857142857,7388.714285714285,sum_amt_CR,6294.761904761905,6084.823529411765,209.93837535013972,avg_amt_CR
59,0.0,0,0,0,9.0,8.0,1.0,9.0,3.0,5.0,n_ATM,5.0,6.0,1.0,7.0,0.0,1.0,n_CR_CorporateConnect,4.0,2.0,2.0,3.0,4.0,n_DR_ATM,20,15,5,n_CR,114356.0,76194.0,38162.0,8168.285714285715,5442.428571428572,sum_amt_CR,5717.8,5079.6,638.1999999999998,avg_amt_CR
60,0.0,0,0,0,3.0,6.0,4.0,11.0,5.0,10.0,n_CorporateConnect,1.0,1.0,4.0,7.0,0.0,4.0,n_CR_CorporateConnect,2.0,5.0,4.0,5.0,6.0,n_DR_KPlus,17,22,-5,n_DR,106502.0,131134.0,-24632.0,7607.285714285715,9366.714285714286,sum_amt_DR,6264.823529411765,5960.636363636364,304.1871657754009,avg_amt_CR
61,0.0,0,0,0,10.0,10.0,3.0,10.0,3.0,2.0,n_ATM,9.0,5.0,3.0,6.0,0.0,2.0,n_CR_ATM,1.0,5.0,4.0,3.0,0.0,n_DR_Branch,25,13,12,n_CR,129890.0,63236.0,66654.0,9277.857142857143,4516.857142857143,sum_amt_CR,5195.6,4864.307692307692,331.292307692308,avg_amt_CR
62,0.0,0,0,0,9.0,6.0,2.0,10.0,4.0,10.0,n_CorporateConnect,7.0,2.0,2.0,7.0,0.0,4.0,n_CR_ATM,2.0,4.0,3.0,4.0,6.0,n_DR_KPlus,22,19,3,n_CR,142697.0,82701.0,59996.0,10192.642857142857,5907.214285714285,sum_amt_CR,6486.227272727273,4352.684210526316,2133.543062200957,avg_amt_CR
63,0.0,0,0,0,9.0,7.0,5.0,11.0,4.0,8.0,n_CorporateConnect,4.0,3.0,5.0,6.0,0.0,4.0,n_CR_CorporateConnect,5.0,4.0,5.0,4.0,4.0,n_DR_ATM,22,22,0,n_CR,112829.0,151520.0,-38691.0,8059.214285714285,10822.857142857143,sum_amt_DR,5128.590909090909,6887.272727272727,-1758.681818181818,avg_amt_DR
64,0.0,0,0,0,6.0,6.0,3.0,9.0,4.0,11.0,n_KPlus,3.0,5.0,3.0,7.0,0.0,3.0,n_CR_CorporateConnect,3.0,1.0,2.0,4.0,8.0,n_DR_KPlus,21,18,3,n_CR,102133.0,107165.0,-5032.0,7295.214285714285,7654.642857142857,sum_amt_DR,4863.476190476191,5953.611111111111,-1090.1349206349205,avg_amt_DR
65,0.0,0,0,0,3.0,9.0,4.0,13.0,2.0,14.0,n_KPlus,1.0,4.0,4.0,7.0,0.0,6.0,n_CR_CorporateConnect,2.0,5.0,6.0,2.0,8.0,n_DR_KPlus,22,23,-1,n_DR,136233.0,109288.0,26945.0,9730.92857142857,7806.285714285715,sum_amt_CR,6192.409090909091,4751.652173913043,1440.756916996048,avg_amt_CR
66,0.0,0,0,0,11.0,9.0,2.0,0.0,3.0,7.0,n_ATM,5.0,6.0,2.0,0.0,0.0,4.0,n_CR_Branch,6.0,3.0,0.0,3.0,3.0,n_DR_ATM,17,15,2,n_CR,99379.0,84811.0,14568.0,7098.5,6057.928571428572,sum_amt_CR,5845.823529411765,5654.066666666667,191.75686274509826,avg_amt_CR
67,0.0,0,0,0,5.0,7.0,5.0,9.0,2.0,5.0,n_CorporateConnect,1.0,5.0,5.0,6.0,0.0,1.0,n_CR_CorporateConnect,4.0,2.0,3.0,2.0,4.0,n_DR_ATM,18,15,3,n_CR,109820.0,80357.0,29463.0,7844.285714285715,5739.785714285715,sum_amt_CR,6101.111111111111,5357.133333333333,743.9777777777781,avg_amt_CR
68,0.0,0,0,0,9.0,10.0,2.0,9.0,4.0,10.0,n_Branch,5.0,8.0,2.0,5.0,0.0,5.0,n_CR_Branch,4.0,2.0,4.0,4.0,5.0,n_DR_KPlus,25,19,6,n_CR,139145.0,89050.0,50095.0,9938.92857142857,6360.714285714285,sum_amt_CR,5565.8,4686.8421052631575,878.9578947368427,avg_amt_CR
69,0.0,0,0,0,6.0,9.0,6.0,5.0,2.0,9.0,n_Branch,2.0,4.0,6.0,3.0,0.0,5.0,n_CR_CDM,4.0,5.0,2.0,2.0,4.0,n_DR_Branch,20,17,3,n_CR,115701.0,101105.0,14596.0,8264.357142857143,7221.785714285715,sum_amt_CR,5785.05,5947.35294117647,-162.30294117647009,avg_amt_DR
